		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
001000101   26   23   22   26   26   42   28   21 14.817280 0.062797 SUCCESS  31
001000111   22   27   22   24   23   25   22   22  1.366512 0.994709 SUCCESS  32
001001011   23   28   24   18   18   26   30   27  5.832890 0.665944 SUCCESS  33
001001101   27   21   20   20   22   16   24   29  6.551138 0.585741 SUCCESS  34
001001111   17   27   27   24   25   22   25   20  3.993248 0.857732 SUCCESS  35
001010011   29   25   17   18   29   28   24   27  6.706042 0.568655 SUCCESS  36
001010101   26   19   21   28   21   20   22   27  4.221631 0.836594 SUCCESS  37
001010111   30   17   29   13   25   21   15   29 15.193947 0.055482 SUCCESS  38
001011011   13   28   23   31   42   23   22   32 23.883755 0.002397 FAILURE  39
001011101   21   36   33   29   20   17   28   20 14.731223 0.064587 SUCCESS  40
001011111   30   22   27   32   18   29   22   19  8.417921 0.393746 SUCCESS  41
001100101   23   31   22   28   20   20   17   25  6.696112 0.569746 SUCCESS  42
001100111   18   22   29   18   27   21   20   23  6.288332 0.614969 SUCCESS  43
001101011   18   20   20   25   20   24   23   19  5.533013 0.699380 SUCCESS  44
001101101   14   32   27   24   21   23   23   22  8.221313 0.412156 SUCCESS  45
001101111   17   22   27   27   25   18   28   24  5.442322 0.709422 SUCCESS  46
001110101   26   24   22   16   30   24   28   28  5.782580 0.671571 SUCCESS  47
001110111   23   22   30   22   30   24   14   27  8.103481 0.423428 SUCCESS  48
001111011   22   27   18   26   18   21   34   26  8.611881 0.376087 SUCCESS  49
001111101   32   25   23   17   16   12   22   25 14.625306 0.066854 SUCCESS  50
001111111   27   26   25   27   32   19   30   28  6.259205 0.618222 SUCCESS  51
010000011   21   25   26   27   25   22   21   27  1.935153 0.982936 SUCCESS  52
010000111   22   20   24   24   19   27   22   23  2.924813 0.938987 SUCCESS  53
010001011   27   23   20   20   19   31   30   17  8.738320 0.364850 SUCCESS  54
010001111   25   21   23   29   25   18   23   26  3.425932 0.904861 SUCCESS  55
010010011   27   20   20   28   29   28   24   21  4.418239 0.817556 SUCCESS  56
010010111   29   25   28   24   17   31   27   26  6.029498 0.643928 SUCCESS  57
010011011   26   25   25   21   22   21   22   23  1.688235 0.989124 SUCCESS  58
010011111   24   24   26   23   19   20   29   23  3.239253 0.918458 SUCCESS  59
010100011   20   19   18   27   22   19   24   28  6.110260 0.634883 SUCCESS  60
010100111   30   30   28   21   27   24   26   28  4.649270 0.794320 SUCCESS  61
010101011   26   17   23   25   25   30   24   20  4.696933 0.789423 SUCCESS  62
010101111   32   19   26   15   21   24   19   33 12.399068 0.134267 SUCCESS  63
010110011   36   29   22   20   24   28   28   21  9.257974 0.321003 SUCCESS  64
010110111   18   31   19   40   46   21   27   34 39.579296 0.000004 FAILURE  65
010111011   21   27   29   33   21   19   29   17  9.747839 0.283172 SUCCESS  66
010111111   20   15   26   18   26   25   23   22  6.855649 0.552284 SUCCESS  67
011000111   26   29   22   18   33   20   22   26  7.290570 0.505631 SUCCESS  68
011001111   22   25   26   21   24   23   25   24  0.968663 0.998439 SUCCESS  69
011010111   18   26   24   27   22   26   27   20  3.595398 0.891661 SUCCESS  70
011011111   18   31   30   26   35   18   29   26 12.520872 0.129433 SUCCESS  71
011101111   23   21   23   21   25   21   20   18  4.203096 0.838350 SUCCESS  72
011111111   28   24   27   28   27   22   19   23  3.240577 0.918365 SUCCESS  73
100000000   31   31   33   30   24   29   21   36 15.252201 0.054423 SUCCESS  74
100010000   32   20   27   26   37   23   22   26 10.826204 0.211743 SUCCESS  75
100100000   24   19   24   26   16   20   19   27  6.686182 0.570838 SUCCESS  76
100101000   23   13   31   23   22   24   18   26  9.610147 0.293461 SUCCESS  77
100110000   22   20   26   31   23   26   26   33  6.453165 0.596607 SUCCESS  78
100111000   18   29   21   22   25   15   24   20  7.948578 0.438509 SUCCESS  79
101000000   21   33   18   22   26   30   23   24  7.129709 0.522705 SUCCESS  80
101000100   24   24   26   26   20   23   23   29  2.113226 0.977342 SUCCESS  81
101001000   22   27   26   30   21   20   24   23  3.367015 0.909262 SUCCESS  82
101001100   19   27   22   21   23   24   27   17  4.949809 0.762927 SUCCESS  83
101010000   17   34   27   20   20   29   20   25  9.882883 0.273342 SUCCESS  84
101010100   29   28   19   12   19   21   15   37 21.388091 0.006185 FAILURE  85
101011000   27   19   28   22   34   24   28   19  8.011466 0.432351 SUCCESS  86
101011100   24   20   20   23   26   26   21   19  3.670202 0.885586 SUCCESS  87
101100000   34   29   25   22   25   20   24   33  9.038196 0.339084 SUCCESS  88
101100100   27   22   31   19   21   30   29   27  6.614026 0.578789 SUCCESS  89
101101000   19   24   21   40   22   21   20   24 13.602547 0.092731 SUCCESS  90
101101100   23   19   27   25   28   22   30   21  4.231561 0.835650 SUCCESS  91
101110000   23   30   34   21   21   26   28   21  7.444149 0.489556 SUCCESS  92
101110100   24   32   34   27   18   23   31   20 11.130715 0.194402 SUCCESS  93
101111000   27   18   25   25   23   20   26   16  6.051344 0.641481 SUCCESS  94
101111100   22   30   25   32   23   25   20   29  5.851426 0.663870 SUCCESS  95
110000000   32   29   33   30   22   25   20   28  9.437370 0.306753 SUCCESS  96
110000010   24   27   19   28   23   25   31   13  9.526737 0.299825 SUCCESS  97
110000100   18   28   30   19   22   24   24   19  6.339967 0.609208 SUCCESS  98
110001000   25   22   21   29   35   37   25   22 13.394023 0.098993 SUCCESS  99
110001010   28   24   18   24   31   21   20   26  5.561478 0.696220 SUCCESS 100
110010000   18   21   17   25   27   29   24   21  6.238022 0.620589 SUCCESS 101
110010010   31   24   26   28   24   21   26   27  3.402762 0.906604 SUCCESS 102
110010100   24   15   30   29   26   24   26   27  6.486264 0.592932 SUCCESS 103
110011000   24   23   25   29   21   27   27   36  7.767195 0.456535 SUCCESS 104
110011010   30   26   14   20   19   30   17   23 11.804610 0.160137 SUCCESS 105
110100000   21   27   21   22   25   28   27   22  2.604415 0.956684 SUCCESS 106
110100010   19   26   23   23   19   24   25   25  2.781163 0.947331 SUCCESS 107
110100100   18   23   18   21   25   20   27   28  5.712410 0.679410 SUCCESS 108
110101000   17   25   30   25   26   25   30   26  5.241080 0.731526 SUCCESS 109
110101010   29   26   21    9   23   31   17   30 17.118322 0.028900 SUCCESS 110
110101100   18   22   24   14   30   24   28   27  8.738320 0.364850 SUCCESS 111
110110000   26   32   30   19   18   15   27   29 11.781441 0.161225 SUCCESS 112
110110010   26   22   36   26   22   27   25   21  7.198555 0.515370 SUCCESS 113
110110100   21   25   25   34   19   22   30   21  7.722843 0.461001 SUCCESS 114
110111000   22   29   28   17   29   23   20   37 12.536760 0.128813 SUCCESS 115
110111010   28   28   29   30   20   21   32   18  8.817095 0.357960 SUCCESS 116
110111100   19   23   23   28   27   22   21   21  3.459031 0.902346 SUCCESS 117
111000000   23   24   31   22   23   26   22   23  2.697754 0.951871 SUCCESS 118
111000010   24   26   34   18   22   25   19   24  7.256147 0.509265 SUCCESS 119
111000100   26   25   25   27   33   29   21   24  4.953781 0.762504 SUCCESS 120
